Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.54541778564453,35.42468502551059,26.900113742286507,29.051476675652747,855215656
1,2007-10-08,30.87934112548828,33.64537923155225,30.685232341427458,33.64537923155225,126671715
2,2007-10-09,32.98217010498047,33.27333102819074,29.229417128249786,30.895508777439975,116725709
3,2007-10-10,33.28950119018555,33.96887948189164,32.99834031886197,33.839472943776364,67931378
4,2007-10-11,37.00990676879883,38.82158101766896,32.99834518139679,38.82158101766896,106320954
5,2007-10-12,36.76728057861328,38.1422115851373,35.909971534483965,36.23348471248961,99410791
6,2007-10-15,37.252540588378906,37.753988515704634,36.9290274951083,37.52752759524435,41814972
7,2007-10-16,41.05381393432617,41.700844422111814,37.042252992785215,37.301061677558216,138614496
8,2007-10-17,44.25660705566406,45.29184642634732,34.32475013602845,36.88050514839878,204876259
9,2007-10-18,42.70372009277344,48.34902307885497,40.875872720808424,44.96831084442843,146617799
10,2007-10-19,42.55815505981445,44.288950833134855,40.43914185377529,41.73319411226879,110266491
11,2007-10-22,41.992008209228516,43.30223439737445,40.600899365049735,41.7008473216324,72253405
12,2007-10-23,44.984519958496094,45.38891144132496,43.027262548847375,43.027262548847375,74594921
13,2007-10-24,44.2889404296875,46.42412703223298,43.78749266455501,45.93885316136171,63055170
14,2007-10-25,44.1919059753418,45.22714981126027,39.031869473945804,42.78462289424035,34522489
15,2007-10-26,45.518306732177734,46.2462112556503,43.75515846459537,44.96833267038299,62370025
16,2007-10-29,46.440311431884766,47.55643325031077,46.03592010461835,46.26238100305824,43657697
17,2007-10-30,47.475563049316406,48.75343722778894,45.680062618503946,47.07117165335785,79921711
18,2007-10-31,48.4622688293457,49.529864582852305,47.55643399721294,47.718190530659996,44655368
19,2007-11-01,47.37849807739258,50.031306919488635,46.99028503889122,49.65926777878566,50632492
20,2007-11-02,48.23581314086914,48.52697844288558,45.29184303635139,45.663886613833,32001693
21,2007-11-05,49.2225341796875,50.306304024365964,47.91230339268425,48.20346871508114,38833135
22,2007-11-06,49.86956024169922,53.023813193798766,49.190181805199956,50.07984289425368,81880281
23,2007-11-07,49.14162826538086,51.503270991106746,48.04168513816504,50.791545150167146,33593141
24,2007-11-08,48.30052185058594,49.61075266344967,47.23293027381786,47.879956535599156,27990521
25,2007-11-12,49.465171813964844,50.338659054583786,45.566835810968826,46.84471448003583,35153735
26,2007-11-13,50.64598846435547,51.66505387693669,48.704909816418926,50.30630145613752,43830531
27,2007-11-14,49.98279571533203,52.24738780504618,49.72398255803647,51.53565710739339,36738579
28,2007-11-15,50.82392501831055,51.71358609524621,49.86955956242675,50.920977198805254,29242252
29,2007-11-16,50.46806335449219,51.616533254301935,49.88573706568886,50.59746773380588,18895294
30,2007-11-19,52.29591751098633,54.188470479911324,51.22832577873545,51.61653895958654,40716718
31,2007-11-20,51.48711395263672,53.54142268810396,50.85626175291968,52.08561396991991,26342171
32,2007-11-21,47.475563049316406,52.10179886391124,46.32708885203763,51.79446403573923,26814499
33,2007-11-22,45.84181213378906,48.882838474518564,43.852207648939675,46.97410786850802,34096185
34,2007-11-23,48.88285446166992,49.17401543966515,46.132988104366795,48.85050226679751,27664090
35,2007-11-26,49.271060943603516,50.69451783327973,48.882847821652355,50.69451783327973,20159123
36,2007-11-27,48.05788040161133,50.11218937819072,47.55643687277575,50.11218937819072,20573198
37,2007-11-28,47.346160888671875,49.335770344328076,47.02264772683225,49.1093093758691,16435311
38,2007-11-29,46.06827163696289,48.7857804401813,45.46977160348626,48.526971749561135,25530967
39,2007-11-30,47.847591400146484,48.13875226159133,46.262378365234376,46.90940445196801,18437721
40,2007-12-03,48.526981353759766,49.12548150568832,48.057885572752305,48.42992478462329,16851227
41,2007-12-04,47.896121978759766,49.254878643722,47.54025672003852,48.85048730152216,14008727
42,2007-12-05,49.80485916137695,49.98279402373219,47.87995858302238,47.97701077126861,27725290
43,2007-12-06,48.88285446166992,51.648890334516906,48.252002019406746,50.88863350069232,24104710
44,2007-12-07,48.67255783081055,49.88573199082513,47.79907506835648,49.19017968333558,11742386
45,2007-12-10,48.72108840942383,49.319584152607185,48.090236089726254,49.14165369727063,8330010
46,2007-12-11,48.49462127685547,49.432808298355596,48.251986475367836,49.15782131241758,11685950
47,2007-12-12,48.4622688293457,48.8990123472381,47.55643399721294,47.87994706410704,16342131
48,2007-12-13,47.65349578857422,49.17400926530553,47.47556532100952,48.52698300081181,14620172
49,2007-12-14,47.18439483642578,47.928477592054016,46.94176001375016,47.49173403365245,10991851
50,2007-12-17,44.337486267089844,47.718200260649056,43.67428171197001,47.45938712160436,19355678
51,2007-12-18,44.143375396728516,45.6153583256099,42.76844464788838,43.836036180052076,21607783
52,2007-12-19,43.33458709716797,45.95504389252686,42.96254793704477,45.56682644583409,19526912
53,2007-12-20,42.89784240722656,44.25659904600142,42.70373368912633,43.90073379413879,17105204
54,2007-12-24,44.208072662353516,44.903624875209005,43.18900299624993,43.54486824568874,16711519
55,2007-12-26,45.55065155029297,46.10062552308345,44.450707992638826,44.450707992638826,20930094
